,sentence_id,en,nl
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.","Afgaand op eerdere berichten was dit een goede plek, maar niet langer."
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","We waren met z'n vieren, kwamen rond de middag aan. De plaats was leeg. Het personeel deed alsof we ze lastig vielen en ze waren erg onbeschoft."
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","Ze brachten ons nooit gratis noedels, negeerden herhaalde verzoeken om suiker, en gooiden onze gerechten op tafel."
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"Het eten was slecht, te zoet of te zout en de porties klein."
4,1004293:4,"After all that, they complained to me about the small tip.",Na dat alles klaagden ze tegen mij over de kleine fooi.
5,1004293:5,Avoid this place!,Vermijd deze plek!
6,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.","Ik heb bij Saul gegeten, vaak, het eten is altijd consequent, schandalig goed."
7,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul is het beste restaurant op Smith Street en in Brooklyn.
8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,De eend confit is altijd geweldig en de foie gras terrine met vijgen was uit deze wereld.
9,1014458:3,The wine list is interesting and has many good values.,De wijnlijst is interessant en heeft veel goede waarden.
10,1014458:4,"For the price, you cannot eat this well in Manhattan.","Voor de prijs, je kunt niet zo goed eten in Manhattan."
11,1016296:0,I was very disappointed with this restaurant.,Ik was erg teleurgesteld in dit restaurant.
12,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,Ik vroeg een winkelbediende om een lotusblad met rijst en ze antwoordde terug en liep gewoon weg.
13,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,Ik moest het haar drie keer vragen voordat ze terug kwam met het gerecht dat ik vroeg.
14,1016296:3,"Food was okay, nothing great.","Het eten was goed, niets geweldig."
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Het eetplezier was droog; varkensvlees shu mai was meer dan gewoonlijk vettig en moest een tafel delen met luide en onbeschofte familie.
16,1016296:5,I/we will never go back to this place again.,We gaan nooit meer terug naar deze plek.
17,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","Ik ging drie dagen oesterborrelen, met Fish die het slotpleidooi bracht, en ik ben zo blij dat dit de plek was waar de reis eindigde, omdat het zo geweldig was!"
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service was devine, oesters waar een sensueel als ze komen, en de prijs kan niet worden verslagen!!!"
19,1028246:2,You can't go wrong here.,Je kunt hier niet fout gaan.
20,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Elke keer in New York maak ik er een punt van om Restaurant Saul op Smith Street te bezoeken.
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","Alles is altijd perfect gekookt, de service is uitstekend, de inrichting koel en understated."
22,1032695:2,I had the duck breast special on my last visit and it was incredible.,Ik had de eendenborst speciaal op mijn laatste bezoek en het was ongelooflijk.
23,1032695:3,Can't wait wait for my next visit.,Ik kan niet wachten op mijn volgende bezoek.
24,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",Ik hield deze plek in de gaten en beloofde mezelf dat ik het ooit zou proberen.
25,1041457:1,And I hate to say this but I doubt I'll ever go back. ,"En ik zeg dit niet graag, maar ik betwijfel of ik ooit terug ga."
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","Het eten is heel gemiddeld... het Thaise fusieproduct is een beetje te zoet, alles wat ze serveren is hier te zoet."
27,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Het enige wat ik matig genoot was hun Grilled Chicken special met Edamame Puree.
28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Ik had nog nooit Edamame gepureerd, maar ik dacht dat het innovatief en smakelijk was (wat meer zout had kunnen gebruiken)."
29,1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.","Hoe dan ook, als je in de buurt bent om goed voedsel te eten, zou ik mijn tijd niet verspillen om iets te zoeken, in plaats van naar Tamari te gaan."
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","Het decor is nacht, maar ze moeten echt die ventilator in het plafond schoonmaken... het is niet echt smakelijk, en het doodt je poging om deze plek slank en modern te laten lijken."
31,1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,We aten buiten in Haru's Sake bar omdat Haru's restaurant ernaast overviel.
32,1053543:1,What's the difference between the two?,Wat is het verschil tussen die twee?
33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","Hun sake lijst was uitgebreid, maar we waren op zoek naar Purple Haze, die niet op de lijst stond, maar voor ons gemaakt op verzoek!"
34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","De pittige tonijn rol was ongewoon goed en de rock garnalen tempura was geweldig, geweldig voorgerecht om te delen!"
35,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,We gingen rond 9:30 op een vrijdag en het was een beetje minder dan toen dus de service was geweldig!
36,1055910:0,we love th pink pony.,We houden van de roze pony.
37,1055910:1,THe perfect spot.,Perfecte plek.
38,1055910:2,Food-awesome.,Eten-geweldig.
39,1055910:3,Service- friendly and attentive.,Service-vriendelijk en attent.
40,1055910:4,Ambiance- relaxed and stylish.,"Ambiance, ontspannen en stijlvol."
41,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","Veroordeel deze plek niet op het eerste gezicht, je moet het proberen te geloven, een huis weg van huis voor het geletterde hart."
42,1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.","Ik heb hier een paar keer gegeten, zonder reden, behalve puur gemak."
43,1058221:1,"(i hang out, and live, in the neighborhood..) ",Ik woon hier in de buurt.
44,1058221:2,the food is decent.,Het eten is fatsoenlijk.
45,1058221:3,"however, it's the service that leaves a bad taste in my mouth.","Echter, het is de service die een slechte smaak in mijn mond laat."
46,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","Ik heb toevallig een beleid dat past bij een beetje zelfrespect, wat inhoudt dat ik me niet laat intimideren door een ober, d.w.z. me slecht laat voelen door te vragen om trivialiteiten zoals water, of de cheque."
47,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","Ik weet het, je was te druk met je vintage T-shirt te laten zien en verveeld te lijken, maar mijn agenda is dat ik hier ben om te eten en te genieten van het gezelschap van vrienden, op zoek naar een aangename ervaring."
48,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ","Nou, ik heb het daar niet gevonden, en geloof me, ik heb iedereen verteld dat ik aan mijn ervaring kan denken."
49,1058221:7,the last time i walked by it looked pretty empty. hmmm.,De laatste keer dat ik langs liep zag het er vrij leeg uit.Hmmm.
50,1062641:0,This place has got to be the best japanese restaurant in the new york area.,Dit moet het beste Japanse restaurant in de buurt van New York zijn.
51,1062641:1,I had a great experience.,Ik had een geweldige ervaring.
52,1062641:2,Food is great.,Eten is geweldig.
53,1062641:3,Service is top notch.,Service is top.
54,1062641:4,I have been going back again and again.,Ik ga keer op keer terug.
55,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","Ik heb de neiging om een sushi restaurant te beoordelen op zijn zee egel, die hemels was bij sushi Rose."
56,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","Het smolt in mijn kleine mond en de perfecte consistentie... niet te visachtig, romig en licht boterig."
57,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,De sushi leek vrij vers en was behoorlijk evenredig.
58,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,"De rijstrantsoen was ook goed, ze probeerden de rijst niet te veel te betalen."
59,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"We namen advies van de sushi deal op zaterdag, dus het was het waard."
60,1074868:0,I went to this restaurant with a woman that I met recently.,Ik ging naar een restaurant met een vrouw die ik onlangs ontmoette.
61,1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,"Ze woont in de buurt, maar is nooit naar deze vestiging gegaan... denkend dat het te toeristisch zou zijn."
62,1074868:2,Surprisingly nothing could be further from the truth.,Verrassend genoeg kon niets verder van de waarheid zijn.
63,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.","'s Avonds trok deze plek een goed geklede, New York menigte aan."
64,1074868:4,The food was well prepared and the service impecable.,Het eten was goed voorbereid en de service ondoordringbaar.
65,1074868:5,I'm going back.,Ik ga terug.
66,1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.","Na op zoek te zijn naar een rustig, romantisch, maar niet vreselijk duur restaurant, stuitte ik op recensies voor La Lantaarna en gaf het een kans."
67,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,Het is gewoon alsof je uit Manhattan stapt en in een toevluchtsoord van rust komt.
68,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.","De service was attent, maar onbelemmerd, het voedsel was veel beter dan vele beruchte restaurants in Midtown en de wijnlijst is uitgebreid en goed geprijsd."
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Het Prix Fixe menu is elke cent waard en je krijgt meer dan genoeg (zowel in kwantiteit als kwaliteit).
70,1084394:4,I will be going back and heartily recommend it!,Ik ga terug en raad het van harte aan!
71,1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.","Ik heb het lunch buffet in Chennai een paar keer gehad, toen ik in de buurt was."
72,1086415:1,"It is terrific, as is the value.","Het is geweldig, net als de waarde."
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","$6 en er is veel lekker eten, allemaal vers en continu bijgevuld."
74,1086415:3,"I am not a vegetarian but, almost all the dishes were great.","Ik ben geen vegetariër, maar bijna alle gerechten waren geweldig."
75,1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","Eerlijk gezegd, als je vergelijkt wat je hier kunt hebben voor de lunch, versus McDs of zo veel andere sandwichwinkels in de stad, is er geen vergelijking."
76,1086415:5,Go hungry and enjoy.,Ga hongerig en geniet.
77,1086478:0,"The food here is rather good, but only if you like to wait for it.","Het eten hier is best goed, maar alleen als je er graag op wacht."
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","Ik hou van de somosas, chai en de chole, maar de dhosas en Dhal waren nogal teleurstellend."
79,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.","De service varys van dag tot dag... soms zijn ze heel aardig, en soms niet."
80,1086478:3,"The kitchen however, is almost always slow.",De keuken is echter bijna altijd langzaam.
