,sentence_id,source,target
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.","A juzgar por publicaciones anteriores, este solía ser un buen lugar, pero ya no."
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","Nosotros, éramos cuatro, llegamos al mediodía, el lugar estaba vacío, y el personal actuó como si los estuviéramos imponiendo y fueron muy groseros."
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","Nunca nos trajeron fideos de cortesía, ignoraron las repetidas solicitudes de azúcar y arrojaron nuestros platos sobre la mesa."
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"La comida era pésima, demasiado dulce o demasiado salada y las porciones diminutas."
4,1004293:4,"After all that, they complained to me about the small tip.","Después de todo eso, me quejaron por la pequeña propina."
5,1004293:5,Avoid this place!,¡Evita este lugar!
6,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.","He comido en Saul, muchas veces, la comida siempre es consistente y escandalosamente buena."
7,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul es el mejor restaurante de Smith Street y Brooklyn.
8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,El confit de pato siempre es increíble y la terrina de foie gras con higos estaba fuera de este mundo.
9,1014458:3,The wine list is interesting and has many good values.,La carta de vinos es interesante y tiene muy buenos valores.
10,1014458:4,"For the price, you cannot eat this well in Manhattan.","Por el precio, no se puede comer tan bien en Manhattan."
11,1016296:0,I was very disappointed with this restaurant.,Me decepcionó mucho este restaurante.
12,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,Le pedí a un encargado del carrito un arroz envuelto en hojas de loto y ella respondió arroz y se marchó.
13,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,Tuve que preguntarle tres veces antes de que finalmente regresara con el plato que pedí.
14,1016296:3,"Food was okay, nothing great.","La comida estaba bien, nada del otro mundo."
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow divertido era seco; El cerdo shu mai era más grasoso de lo habitual y tenía que compartir mesa con una familia ruidosa y grosera.
16,1016296:5,I/we will never go back to this place again.,Yo / nosotros nunca volveré a este lugar.
17,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","Fui a un atracón de ostras de 3 días, con Fish trayendo el cierre, y estoy muy contento de que este fuera el lugar donde terminó el viaje, ¡porque fue genial!"
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","El servicio era divino, las ostras eran sensuales, y el precio es inmejorable."
19,1028246:2,You can't go wrong here.,No puedes equivocarte aquí.
20,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Cada vez que estoy en Nueva York me propongo visitar el restaurante Saul en Smith Street.
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","Todo está siempre cocinado a la perfección, el servicio es excelente, la decoración fresca y sobria."
22,1032695:2,I had the duck breast special on my last visit and it was incredible.,Tuve la pechuga de pato especial en mi última visita y fue increíble.
23,1032695:3,Can't wait wait for my next visit.,No puedo esperar a mi próxima visita.
24,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ","Tenía mis ojos puestos en este lugar, prometiéndome a mí mismo que algún día 'lo intentaré'."
25,1041457:1,And I hate to say this but I doubt I'll ever go back. ,"Y odio decir esto, pero dudo que vuelva alguna vez."
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","La comida es muy normal ... la fusión tailandesa es un poco demasiado dulce, todo lo que sirven aquí es demasiado dulce."
27,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Lo único que disfruté moderadamente fue su especial de pollo a la parrilla con puré de Edamame.
28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Nunca había hecho puré de Edamame antes, pero pensé que era innovador y sabroso (podría haber usado un poco más de sal)."
29,1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.","De todos modos, si estás en el vecindario para comer buena comida, no perdería mi tiempo tratando de encontrar algo, sino cruzar la calle hacia Tamari."
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",Aunque la decoración es nocturna ... pero REALMENTE necesitan limpiar esa ventilación en el techo ... es bastante desagradable y mata tu esfuerzo por hacer que este lugar se vea elegante y moderno.
31,1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,Comimos afuera en el bar Haru's Sake porque el restaurante de Haru's al lado estaba desbordado.
32,1053543:1,What's the difference between the two?,¿Cuál es la diferencia entre los dos?
33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","Su lista de sake era extensa, pero estábamos buscando Purple Haze, que no estaba en la lista, ¡pero se hizo para nosotros a pedido!"
34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","El rollo de atún picante era inusualmente bueno y la tempura de camarones de roca era increíble, ¡un gran aperitivo para compartir!"
35,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,"Fuimos alrededor de las 9:30 un viernes y ya se había calmado un poco, ¡así que el servicio fue excelente!"
36,1055910:0,we love th pink pony.,nos encanta el pony rosa.
37,1055910:1,THe perfect spot.,El lugar perfecto.
38,1055910:2,Food-awesome.,Comida increíble.
39,1055910:3,Service- friendly and attentive.,Servicio amable y atento.
40,1055910:4,Ambiance- relaxed and stylish.,Ambiente relajado y elegante.
41,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","No juzgues este lugar prima facie, tienes que probarlo para creerlo, un hogar lejos del hogar para el corazón alfabetizado."
42,1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.","He comido aquí un puñado de veces, sin ninguna otra razón que no sea por pura conveniencia."
43,1058221:1,"(i hang out, and live, in the neighborhood..) ",(salgo y vivo en el vecindario ..)
44,1058221:2,the food is decent.,la comida es decente.
45,1058221:3,"however, it's the service that leaves a bad taste in my mouth.","sin embargo, es el servicio el que me deja mal sabor de boca."
46,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","Resulta que tengo una política que va acompañada de un poco de respeto por mí mismo, que incluye no dejar que un camarero me intimide, es decir, hacerme sentir mal al pedir trivialidades como el agua o la cuenta."
47,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","Lo sé, estabas demasiado ocupada luciendo tu camiseta vintage y luciendo aburrida, pero mi agenda es que estoy aquí para comer y disfrutar de la compañía de amigos, buscando una experiencia agradable."
48,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ","Bueno, no lo encontré allí, y confío, le he dicho a todos en los que puedo pensar sobre mi experiencia."
49,1058221:7,the last time i walked by it looked pretty empty. hmmm.,la última vez que pasé parecía bastante vacío. hmmm.
50,1062641:0,This place has got to be the best japanese restaurant in the new york area.,Este lugar tiene que ser el mejor restaurante japonés de la zona de Nueva York.
51,1062641:1,I had a great experience.,Tuve una gran experiencia.
52,1062641:2,Food is great.,La comida es excelente.
53,1062641:3,Service is top notch.,El servicio es de primera categoría.
54,1062641:4,I have been going back again and again.,He estado volviendo una y otra vez.
