,sentence_id,en,es
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.","Este lugar solía ser un buen lugar, pero ya no lo es."
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","Cuatro de nosotros llegamos al mediodía, el lugar estaba vacío, el personal actuaba como si los fueramos a hacer, y eran groseros."
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","Nunca nos traen fideos gratis, ignoran las repetidas peticiones de azúcar y tiran nuestra comida a la Mesa."
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"La comida es muy mala, demasiado dulce o salada y muy pequeña."
4,1004293:4,"After all that, they complained to me about the small tip.","Después de eso, se quejaron de que las propinas eran muy bajas."
5,1004293:5,Avoid this place!,¡Aléjate de este lugar!
6,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.","He comido muchas veces en Saul, y la comida siempre es buena."
7,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul es el mejor restaurante de la calle Smith y Brooklyn.
8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"Los patos son siempre sorprendentes, el Foie gras y los higos son únicos en el mundo."
9,1014458:3,The wine list is interesting and has many good values.,Esta lista es interesante y valiosa.
10,1014458:4,"For the price, you cannot eat this well in Manhattan.",No puedes comer tan bien en Manhattan por el precio.
11,1016296:0,I was very disappointed with this restaurant.,Estoy muy decepcionado con este restaurante.
12,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"Le pedí a la camarera del coche un plato de arroz con hojas, y ella respondió y se fue."
13,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,Le pregunté tres veces antes de que regresara con mi comida.
14,1016296:3,"Food was okay, nothing great.","La comida está bien, no es gran cosa."
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,La carne de cerdo es más grasosa de lo habitual y tiene que sentarse a la Mesa con una familia ruidosa y grosera.
16,1016296:5,I/we will never go back to this place again.,No vamos a volver a este lugar.
17,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","¡Tres días de fiesta de ostras, el pescado trajo el final, me alegro de que este sea el final del viaje, porque es genial!"
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","¡El servicio es Devine, las ostras allí hay una sexy, porque ya vienen, el precio no se puede vencer!!!"
19,1028246:2,You can't go wrong here.,No te equivocas.
20,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"Cada vez que estoy en Nueva York, voy al Saul 's de la calle Smith."
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","Todo se hace perfecto, se sirve bien, la decoración es genial y no se revela."
22,1032695:2,I had the duck breast special on my last visit and it was incredible.,"La última vez que estuve aquí, comí carne de pato."
23,1032695:3,Can't wait wait for my next visit.,No puedo esperar a volver.
24,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",Miré este lugar y me prometí a mí mismo que un día lo intentaría.
25,1041457:1,And I hate to say this but I doubt I'll ever go back. ,"No quiero decir esto, pero me pregunto si volveré."
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","Aquí la comida es muy común... La comida tailandesa es un poco dulce, todo es demasiado dulce."
27,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Mi favorito es su pollo asado con barro de soja.
28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Nunca antes había hecho barro de soja, pero creo que es muy creativo y sabe bien."
29,1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.","De todos modos, si comes bien cerca, no pierdo el tiempo buscando cosas, sino cruzando la calle hacia Tamari."
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","La decoración aquí es de noche... Pero realmente necesitan limpiar la ventilación en el techo... Y eso no es bueno, y te va a costar trabajo hacer que este lugar se vea más moderno y moderno."
