,sentence_id,en,ru
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.","Судя по предыдущим сообщениям, здесь было хорошее место, но не сейчас."
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","нас было четверо, и к полудню там было пусто, и сотрудники вели себя так, будто мы заставляли их, что они были грубы."
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","Они никогда не подают нам бесплатную лапшу, игнорируют неоднократные просьбы о Сахаре и бросают наши блюда на стол."
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"пища слишком тяжелая, слишком сладкая или слишком соленая, и ее вес очень маленький."
4,1004293:4,"After all that, they complained to me about the small tip.","После этого они жаловались мне на то, что чаевых слишком мало."
5,1004293:5,Avoid this place!,Отойди от этого места!
6,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.","Я много раз ел в Соле, и еда всегда была хорошей и непонятной."
7,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Сол Смит - лучший ресторан на Бруклинской улице.
8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,инжир и инжир всегда в этом мире.
9,1014458:3,The wine list is interesting and has many good values.,этот напиток очень интересный и ценный.
10,1014458:4,"For the price, you cannot eat this well in Manhattan.","по цене, ты не можешь так хорошо поесть на Манхэттене."
11,1016296:0,I was very disappointed with this restaurant.,Я очень разочарован этим рестораном.
12,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"Я попросил у официанта в машине рис с лотосовыми листьями, она ответила, и ушла."
13,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,"Я трижды спрашивал ее, и она наконец - то взяла мое блюдо."
14,1016296:3,"Food was okay, nothing great.","еда в порядке, ничего страшного."
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"еженедельный ветер высох; свинина шуме, чем обычно, была более жирной, пришлось работать за столом с грубой семьей."
16,1016296:5,I/we will never go back to this place again.,Я больше не вернусь в это место.
